X1,X2,X3,X4,X5,X6
6,0.89967,0.2,-0.5,0.070121,98.155
8,0.89991,0.2,-0.5,0.054007,162.23
10,0.89725,0.2,-0.5,0.04025,238.75
12,0.89933,0.2,-0.5,0.034512,351.75
14,0.89538,0.2,-0.5,0.030372,319.1
2,0.93023,0.2,-0.5,0.12071,38.616
4,0.92869,0.2,-0.5,0.078972,82.146
6,0.90885,0.2,-0.5,0.063696,107.06
8,0.90936,0.2,-0.5,0.04831,164.6
10,0.90848,0.2,-0.5,0.036053,289.16
12,0.90887,0.2,-0.5,0.031015,425.73
14,0.90702,0.2,-0.5,0.026717,548.76
2,0.94733,0.2,-0.5,0.092314,55.146
4,0.94026,0.2,-0.5,0.06751,92.234
6,0.91952,0.2,-0.5,0.0565,129.95
8,0.91971,0.2,-0.5,0.04342,202.64
10,0.91922,0.2,-0.5,0.032065,350.59
12,0.91897,0.2,-0.5,0.02761,395.88
14,0.91566,0.2,-0.5,0.025274,454.14
2,0.94201,0.2,-0.5,0.10119,49.438
4,0.92972,0.2,-0.5,0.079128,81.778
6,0.9291,0.2,-0.5,0.050191,168.6
8,0.92824,0.2,-0.5,0.039337,274.54
10,0.92895,0.2,-0.5,0.028745,401.47
12,0.92568,0.2,-0.5,0.024415,598.79
14,0.9284,0.2,-0.5,0.020584,732.8
2,0.94417,0.2,-0.5,0.096748,53.921
4,0.93991,0.2,-0.5,0.068288,94.109
6,0.93921,0.2,-0.5,0.042054,196.26
8,0.93802,0.2,-0.5,0.033601,335.18
10,0.93945,0.2,-0.5,0.024348,496
12,0.93652,0.2,-0.5,0.021532,649.29
14,0.93535,0.2,-0.5,0.01919,914.53
2,0.94984,0.2,-0.5,0.08778,59.648
4,0.94964,0.2,-0.5,0.056662,130.78
6,0.94928,0.2,-0.5,0.0361,294.15
8,0.94891,0.2,-0.5,0.027017,479.01
10,0.94945,0.2,-0.5,0.020085,689.39
12,0.94845,0.2,-0.5,0.018546,929.92
14,0.94426,0.2,-0.5,0.016941,1003.5
2,0.95999,0.2,-0.5,0.070425,79.15
4,0.95966,0.2,-0.5,0.04564,173.02
6,0.95883,0.2,-0.5,0.029468,353.29
8,0.95782,0.2,-0.5,0.022448,719.48
10,0.95783,0.2,-0.5,0.016368,1133.8
12,0.9585,0.2,-0.5,0.013574,1599.4
14,0.95802,0.2,-0.5,0.012406,1347.1
2,0.83983,1,-0.5,0.24865,15.667
4,0.83948,1,-0.5,0.16233,31.182
6,0.83876,1,-0.5,0.10323,52.686
8,0.83809,1,-0.5,0.078587,91.835
10,0.83991,1,-0.5,0.056466,147.33
12,0.83557,1,-0.5,0.049688,207.54
14,0.83607,1,-0.5,0.043323,251.76
2,0.8499,1,-0.5,0.23172,18.006
4,0.84951,1,-0.5,0.15184,35.241
6,0.84933,1,-0.5,0.097145,69.486
8,0.84891,1,-0.5,0.074023,102.62
10,0.84669,1,-0.5,0.055201,156.89
12,0.84884,1,-0.5,0.046093,174.68
14,0.8494,1,-0.5,0.039597,238.94
2,0.85988,1,-0.5,0.21843,19.89
4,0.85949,1,-0.5,0.14187,39.203
6,0.85983,1,-0.5,0.088766,75.494
8,0.85928,1,-0.5,0.067689,111.39
10,0.85757,1,-0.5,0.051341,168.3
12,0.85857,1,-0.5,0.042136,229.8
14,0.85792,1,-0.5,0.037896,273.58
2,0.87,1,-0.5,0.20279,21.92
4,0.86955,1,-0.5,0.13206,44.099
6,0.86942,1,-0.5,0.08377,86.101
8,0.86902,1,-0.5,0.063594,131.59
10,0.86887,1,-0.5,0.047391,180.99
12,0.86924,1,-0.5,0.03898,264.77
14,0.86871,1,-0.5,0.034628,509.11
2,0.87987,1,-0.5,0.18769,25.474
4,0.87977,1,-0.5,0.12221,45.698
6,0.87949,1,-0.5,0.076918,95.955
8,0.87925,1,-0.5,0.058952,156.01
10,0.87873,1,-0.5,0.043329,257.4
12,0.87693,1,-0.5,0.037047,390.38
14,0.87433,1,-0.5,0.033516,523.9
2,0.88979,1,-0.5,0.17194,28.944
4,0.88994,1,-0.5,0.11175,57.957
6,0.88971,1,-0.5,0.070613,98.327
8,0.88866,1,-0.5,0.054471,173.33
10,0.88774,1,-0.5,0.040066,251.39
12,0.88929,1,-0.5,0.034375,498.51
14,0.8857,1,-0.5,0.029918,444.28
2,0.89992,1,-0.5,0.15786,30.895
4,0.89977,1,-0.5,0.10178,67.49
6,0.89898,1,-0.5,0.064923,110.87
8,0.89979,1,-0.5,0.048709,242.42
10,0.89984,1,-0.5,0.035435,303.13
12,0.89852,1,-0.5,0.030979,457.1
14,0.89903,1,-0.5,0.026167,469.62
2,0.90984,1,-0.5,0.14256,37.717
4,0.90968,1,-0.5,0.092151,76.754
6,0.90996,1,-0.5,0.057472,156.89
8,0.90961,1,-0.5,0.044362,232.68
10,0.90649,1,-0.5,0.033978,347.25
12,0.9054,1,-0.5,0.02888,465.36
14,0.90615,1,-0.5,0.024786,733.45
2,0.91995,1,-0.5,0.12659,48.45
4,0.91997,1,-0.5,0.081964,86.06
6,0.91984,1,-0.5,0.051251,169.76
8,0.91957,1,-0.5,0.039166,268.39
10,0.91924,1,-0.5,0.029225,407.58
